name,type,station_number,wmo_number,abbreviation,region,longitude,latitude,elevation,start_year,owner,has_forecast
Gauksmýri,Automated observational station,33204,4933,gauks,North West,-20.804,65.3444,120.0,2006,Vegagerðin,true
Öxnadalsheiði,Automated observational station,33357,4859,oxnad,North East,-18.6987,65.4676,540.0,1995,Vegagerðin,true
Mývatnsheiði,Automated observational station,33394,4869,myvhe,North East,-17.2169,65.6143,350.0,1999,Vegagerðin,true
Blönduós Vegagerðarstöð,Automated observational station,33419,4843,blond,North West,-20.2383,65.6668,40.0,1998,Vegagerðin,true
Refasveit,Automated observational station,33420,-99,refas,North West,-20.2274,65.7196,59.0,2024,Vegagerðin,true
Þverárfjall,Automated observational station,33424,4841,tvera,North West,-20.0186,65.7801,330.0,2003,Vegagerðin,true
Vatnsskarð,Automated observational station,33431,4853,vtnsk,North West,-19.6945,65.5085,420.0,1996,Vegagerðin,true
Kaldakinn,Automated observational station,33480,-99,kakin,North East,-17.592,65.7426,120.0,2013,Vegagerðin,true
Fljótsheiði,Automated observational station,33487,4989,flhei,North East,-17.5032,65.697,238.0,2012,Vegagerðin,true
Hólasandur,Automated observational station,33495,4871,holas,North East,-17.1057,65.7374,350.0,1996,Vegagerðin,true
Hámundarstaðaháls,Automated observational station,33563,4963,hamun,North East,-18.4593,65.9518,103.0,2008,Vegagerðin,true
Víkurskarð,Automated observational station,33576,4865,viksk,North East,-17.9921,65.8135,325.0,1995,Vegagerðin,true
Stafá,Automated observational station,33643,4923,stafa,North West,-19.2785,66.0711,40.0,2012,Vegagerðin,true
Hólshyrna,Automated observational station,33652,-99,holsh,North West,-18.9023,66.1317,56.0,2020,Vegagerðin,true
Héðinsfjörður,Automated observational station,33654,4949,hedfj,North East,-18.813,66.1022,20.0,2010,Vegagerðin,true
Ólafsfjarðarvegur við Sauðanes,Automated observational station,33661,4951,olafv,North East,-18.5208,66.0424,73.0,2010,Vegagerðin,true
Siglufjarðarvegur,Automated observational station,33750,4857,siveg,North West,-19.0721,66.129,20.0,1995,Vegagerðin,true
Siglufjarðarvegur Herkonugil,Automated observational station,33751,4959,siher,North West,-18.9752,66.1784,66.0,2010,Vegagerðin,true
Fagridalur,Automated observational station,34073,4887,fagri,East fjords,-14.3327,65.1264,350.0,1996,Vegagerðin,true
Græfur í Fagradal,Automated observational station,34081,-99,grfur,East fjords,-14.339,65.1682,322.0,2017,Vegagerðin,true
Oddsskarð,Automated observational station,34087,4897,oddsk,East fjords,-13.9187,65.0637,520.0,1995,Vegagerðin,true
Jökuldalur,Automated observational station,34148,4991,jodal,Eastern coastal areas,-15.2237,65.3019,473.0,2012,Vegagerðin,true
Fjarðarheiði,Automated observational station,34175,-99,fjahe,East fjords,-14.259,65.2661,600.0,1995,Vegagerðin,true
Möðrudalsöræfi II,Automated observational station,34238,4881,modhe,North East,-15.5855,65.457,550.0,2000,Vegagerðin,true
Biskupsháls,Automated observational station,34326,4975,biskh,North East,-16.0113,65.5583,521.0,2007,Vegagerðin,true
Vopnafjarðarheiði,Automated observational station,34348,4879,vopfh,Eastern coastal areas,-15.3158,65.5947,440.0,2012,Vegagerðin,true
Vatnsskarð eystra,Automated observational station,34382,4895,vtney,Eastern coastal areas,-13.9897,65.5623,430.0,1999,Vegagerðin,true
Mývatnsöræfi,Automated observational station,34413,4873,myvor,North East,-16.5006,65.6576,390.0,1998,Vegagerðin,true
Dettifoss,Automated observational station,34415,-99,dfoss,North East,-16.4431,65.8149,373.0,2022,Vegagerðin,true
Hauksstaðir,Automated observational station,34450,4993,haust,Eastern coastal areas,-15.1652,65.6571,212.0,2012,Vegagerðin,true
Sandvíkurheiði,Automated observational station,34559,4883,sanhe,Eastern coastal areas,-14.8253,65.8914,275.0,1997,Vegagerðin,true
Tjörnes - Gerðibrekka,Automated observational station,34700,4837,tjnes,North East,-16.9752,66.1487,93.0,2004,Vegagerðin,true
Hófaskarð,Automated observational station,34732,4973,hofas,North East,-15.8933,66.2984,217.0,2010,Vegagerðin,true
Hálsar,Automated observational station,34733,4875,halsr,North East,-15.8161,66.2532,180.0,1995,Vegagerðin,true
Borgarhöfn,Automated observational station,35116,-99,borgh,South East,-15.8145,64.1848,20.0,2019,Vegagerðin,true
Öræfi,Automated observational station,35305,4878,orafi,South East,-16.7959,63.9387,75.0,1995,Vegagerðin,true
Kvísker Vegagerðarstöð,Automated observational station,35315,4886,kvisk,South East,-16.4244,63.9596,30.0,2002,Vegagerðin,true
Hvalnes,Automated observational station,35666,4892,hvaln,East fjords,-14.5393,64.4074,20.0,2000,Vegagerðin,true
Hamarsfjörður,Automated observational station,35769,4992,hamaf,East fjords,-14.4527,64.6558,19.0,2010,Vegagerðin,true
Streiti,Automated observational station,35880,4994,strei,East fjords,-14.0363,64.7199,10.0,2008,Vegagerðin,true
Kambaskriður,Automated observational station,35884,4990,kambs,East fjords,-13.8901,64.7981,37.0,2010,Vegagerðin,true
Öxi,Automated observational station,35963,4976,oxixx,East fjords,-14.6573,64.8257,531.0,2006,Vegagerðin,true
Breiðdalsheiði,Automated observational station,35965,4894,brehe,East fjords,-14.6034,64.9068,480.0,1997,Vegagerðin,true
Víkurgerði,Automated observational station,35985,-99,vikge,East fjords,-13.8547,64.8956,40.0,2018,Vegagerðin,true
Reynisfjall,Automated observational station,36049,4956,reyni,South East,-19.0378,63.4521,125.0,2009,Vegagerðin,true
Markarfljót,Automated observational station,36122,4958,marka,South,-20.0285,63.6216,42.0,2010,Vegagerðin,true
Hvammur,Automated observational station,36127,4870,hvamm,South,-19.9016,63.5784,20.0,2001,Vegagerðin,true
Steinar,Automated observational station,36132,4868,stein,South,-19.6906,63.5429,20.0,1997,Vegagerðin,true
Mýrdalssandur,Automated observational station,36156,4860,mysan,South East,-18.6044,63.4661,35.0,1995,Vegagerðin,true
Eldhraun,Automated observational station,36270,-99,eldhr,South East,-18.1977,63.7338,90.0,2014,Vegagerðin,false
Þjórsárbrú,Automated observational station,36308,4940,tjors,South,-20.6653,63.9306,49.0,2004,Vegagerðin,true
Núpahraun,Automated observational station,36382,-99,nupah,South East,-17.7054,63.9334,51.0,2024,Vegagerðin,true
Lómagnúpur,Automated observational station,36386,4874,lomag,South East,-17.555,63.9575,55.0,1999,Vegagerðin,true
Gígjukvísl,Automated observational station,36391,4876,gigju,South East,-17.3503,63.9362,58.0,2014,Vegagerðin,false
Skálholt,Automated observational station,36411,4866,skalh,South,-20.5308,64.1323,60.0,1998,Vegagerðin,true
Bræðratunguvegur,Automated observational station,36415,4960,brtve,South,-20.3678,64.1575,66.0,2012,Vegagerðin,true
Lyngdalsheiði,Automated observational station,36504,4968,lyngh,South,-20.8062,64.2018,215.0,2010,Vegagerðin,true
Gullfoss,Automated observational station,36519,4842,gullf,South,-20.2119,64.3077,191.0,2001,Vegagerðin,true
